name,points,score
2020_6_29_27_TN_DN_F2_,4,74.08
2020_7_28_14_TN_DN_F0_,4,73.57
2020_7_28_15_TN_DN_F0_,4,73.33
2020_7_28_19_TN_DN_F2_,4,73.17
2020_7_28_13_TN_DN_F0_,4,72.48
2020_6_29_19_TN_DN_F0_,4,71.88
2020_7_28_9_TN_DN_F0_V,4,71.24
2020_6_29_22_TN_DN_F2_,4,68.95
2020_6_29_11_TN_DN_F2_,4,65.06
2020_7_28_26_TN_DN_F0_,4,58.15
2020_6_29_20_TN_DN_F0_,6,96.67
2020_7_28_11_TN_DN_F0_,6,94.25
2020_6_29_1_TN_DN_F0_V,6,93.47
2020_6_29_13_TN_DN_F2_,6,92.85
2020_7_28_29_TN_DN_F2_,6,92.66
2020_7_28_3_TN_DN_F2_V,6,92.09
2020_7_28_1_TN_DN_F2_V,6,91.14
2020_6_29_30_TN_DN_F0_,6,91.1
2020_7_28_19_TN_DN_F2_,6,90.94
2020_7_28_24_TN_DN_F0_,6,90.88
2020_6_29_17_TN_DN_F0_,6,90.87
2020_6_29_16_TN_DN_F0_,6,90.86
2020_6_29_9_TN_DN_F2_V,6,90.78
2020_6_29_2_TN_DN_F0_V,6,90.6
2020_7_28_23_TN_DN_F0_,6,90.33
2020_6_29_6_TN_DN_F0_V,6,90.23
2020_6_29_21_TN_DN_F0_,6,90.22
2020_6_29_24_TN_DN_F2_,6,90.16
2020_6_29_5_TN_DN_F0_V,6,90.1
2020_7_28_5_TN_DN_F2_V,6,90.09
2020_7_28_22_TN_DN_F0_,6,89.84
2020_7_28_27_TN_DN_F0_,6,89.77
2020_7_28_25_TN_DN_F0_,6,89.76
2020_7_28_18_TN_DN_F2_,6,89.56
2020_6_29_15_TN_DN_F2_,6,89.0
2020_7_28_10_TN_DN_F0_,6,88.42
2020_7_28_21_TN_DN_F2_,6,88.41
2020_6_29_29_TN_DN_F0_,6,88.29
2020_6_29_18_TN_DN_F0_,6,88.13
2020_7_28_7_TN_DN_F0_V,6,88.08
2020_7_28_16_TN_DN_F2_,6,87.74
2020_6_29_10_TN_DN_F2_,6,87.49
2020_6_29_19_TN_DN_F0_,6,87.3
2020_6_29_25_TN_DN_F2_,6,87.18
2020_7_28_30_TN_DN_F2_,6,86.25
2020_6_29_28_TN_DN_F0_,6,86.12
2020_7_28_4_TN_DN_F2_V,6,85.33
2020_7_28_9_TN_DN_F0_V,6,85.29
2020_6_29_22_TN_DN_F2_,6,85.04
2020_6_29_23_TN_DN_F2_,6,84.73
2020_6_29_8_TN_DN_F2_V,6,83.6
2020_6_29_12_TN_DN_F2_,6,83.39
2020_6_29_3_TN_DN_F0_V,6,83.36
2020_7_28_8_TN_DN_F0_V,6,83.13
2020_6_29_27_TN_DN_F2_,6,82.73
2020_7_28_12_TN_DN_F0_,6,82.68
2020_6_29_14_TN_DN_F2_,6,82.51
2020_7_28_13_TN_DN_F0_,6,80.25
2020_7_28_2_TN_DN_F2_V,6,80.18
2020_7_28_17_TN_DN_F2_,6,78.88
2020_6_29_26_TN_DN_F2_,6,77.43
2020_7_28_28_TN_DN_F2_,6,76.69
2020_6_29_7_TN_DN_F2_V,6,76.4
2020_6_29_4_TN_DN_F0_V,6,74.8
2020_6_29_11_TN_DN_F2_,6,73.79
2020_7_28_14_TN_DN_F0_,6,70.67
2020_7_28_6_TN_DN_F2_V,6,66.34
2020_7_28_15_TN_DN_F0_,6,59.16
2020_7_28_26_TN_DN_F0_,6,57.41
2020_7_28_20_TN_DN_F2_,6,52.9
