ID,BBS,IOUT,MINHITS,P1,P2,P3,P4,P5,Mean,Score
27.04252055435809_0.04395602836789684_1.1758241134715874,27.04252055435809,0.04395602836789684,1.1758241134715874,75.34,96.54,81.0,81.73,89.94,84.91,1416.0836999999997
27.04252055435809_0.05395602836789684_1.1758241134715874,27.04252055435809,0.05395602836789684,1.1758241134715874,75.55,96.54,86.16,81.72,89.94,85.982,1236.6817000000003
30.04252055435809_0.04395602836789684_1.1758241134715874,30.04252055435809,0.04395602836789684,1.1758241134715874,79.61,96.54,93.48,87.6,90.02,89.45,723.5945000000002
27.04252055435809_0.04395602836789684_1.1758241134715874,27.04252055435809,0.04395602836789684,1.1758241134715874,79.01,96.54,93.91,90.45,93.61,90.70400000000001,621.6743999999998
30.04252055435809_0.03395602836789684_1.1758241134715874,30.04252055435809,0.03395602836789684,1.1758241134715874,81.96,96.54,93.65,92.02,93.69,91.57199999999999,481.2322000000002
24.04252055435809_0.04395602836789684_2.175824113471587,24.04252055435809,0.04395602836789684,2.175824113471587,80.64,96.49,93.45,91.47,93.19,91.04799999999999,549.1692
24.04252055435809_0.03395602836789684_1.1758241134715874,24.04252055435809,0.03395602836789684,1.1758241134715874,81.64,96.54,93.88,92.02,93.61,91.538,491.0281000000001
24.04252055435809_0.05395602836789684_1.1758241134715874,24.04252055435809,0.05395602836789684,1.1758241134715874,81.66,96.54,93.88,92.0,93.61,91.538,490.6137000000002
24.04252055435809_0.05395602836789684_2.175824113471587,24.04252055435809,0.05395602836789684,2.175824113471587,80.64,96.49,93.45,91.45,93.19,91.044,549.5108
30.04252055435809_0.03395602836789684_2.175824113471587,30.04252055435809,0.03395602836789684,2.175824113471587,81.3,96.49,93.28,91.47,93.31,91.16999999999999,524.6855
30.04252055435809_0.05395602836789684_1.1758241134715874,30.04252055435809,0.05395602836789684,1.1758241134715874,81.9,96.54,93.47,92.02,93.61,91.508,486.73499999999984
30.04252055435809_0.03395602836789684_1.1758241134715874,30.04252055435809,0.03395602836789684,1.1758241134715874,81.96,96.54,93.65,92.02,93.69,91.57199999999999,481.2322000000002
27.04252055435809_0.03395602836789684_2.175824113471587,27.04252055435809,0.03395602836789684,2.175824113471587,80.88,96.49,93.59,91.47,93.31,91.14800000000001,536.4996000000001
30.04252055435809_0.03395602836789684_1.1758241134715874,30.04252055435809,0.03395602836789684,1.1758241134715874,81.96,96.54,93.65,92.02,93.69,91.57199999999999,481.2322000000002
33.04252055435809_0.023956028367896835_2.175824113471587,33.04252055435809,0.023956028367896835,2.175824113471587,81.3,96.49,93.15,91.49,93.08,91.102,529.2391000000001
27.04252055435809_0.023956028367896835_1.1758241134715874,27.04252055435809,0.023956028367896835,1.1758241134715874,81.73,96.54,93.91,92.02,93.69,91.578,486.34909999999996
30.04252055435809_0.023956028367896835_1.1758241134715874,30.04252055435809,0.023956028367896835,1.1758241134715874,81.96,96.54,93.65,92.04,93.69,91.576,480.9134
30.04252055435809_0.023956028367896835_2.175824113471587,30.04252055435809,0.023956028367896835,2.175824113471587,81.3,96.49,93.28,91.49,93.31,91.174,524.3447000000002
33.04252055435809_0.03395602836789684_1.1758241134715874,33.04252055435809,0.03395602836789684,1.1758241134715874,81.96,96.54,93.64,92.02,93.71,91.57399999999998,481.10730000000035
27.04252055435809_0.04395602836789684_1.1758241134715874,27.04252055435809,0.04395602836789684,1.1758241134715874,81.75,96.54,93.91,92.02,93.61,91.566,486.6347000000001
33.04252055435809_0.023956028367896835_1.1758241134715874,33.04252055435809,0.023956028367896835,1.1758241134715874,81.96,96.54,93.64,92.04,93.55,91.546,482.8269000000001
30.04252055435809_0.03395602836789684_2.175824113471587,30.04252055435809,0.03395602836789684,2.175824113471587,81.3,96.49,93.28,91.47,93.31,91.16999999999999,524.6855
25.435000767942455_0.01751888369013278_1.070075534760531,25.435000767942455,0.01751888369013278,1.070075534760531,81.73,96.54,93.91,92.04,93.69,91.58200000000001,486.0302999999998
22.435000767942455_0.0075188836901327796_2.070075534760531,22.435000767942455,0.0075188836901327796,2.070075534760531,80.49,96.49,93.34,91.49,93.31,91.024,554.4920000000003
28.435000767942455_0.0075188836901327796_2.070075534760531,28.435000767942455,0.0075188836901327796,2.070075534760531,81.3,96.49,93.28,91.49,93.32,91.176,524.2110000000004
28.435000767942455_0.01751888369013278_2.070075534760531,28.435000767942455,0.01751888369013278,2.070075534760531,81.3,96.49,93.28,91.49,93.31,91.174,524.3447000000002
28.435000767942455_0.0075188836901327796_1.070075534760531,28.435000767942455,0.0075188836901327796,1.070075534760531,81.96,96.54,93.65,92.23,93.72,91.62,477.5470000000001
22.435000767942455_0.01751888369013278_1.070075534760531,22.435000767942455,0.01751888369013278,1.070075534760531,81.48,96.54,93.82,92.02,93.69,91.51,496.6509
25.435000767942455_0.0075188836901327796_1.070075534760531,25.435000767942455,0.0075188836901327796,1.070075534760531,81.73,96.54,93.91,92.23,93.58,91.598,484.44189999999986
25.435000767942455_0.027518883690132778_1.070075534760531,25.435000767942455,0.027518883690132778,1.070075534760531,81.73,96.54,93.91,92.02,93.69,91.578,486.34909999999996
22.435000767942455_0.027518883690132778_1.070075534760531,22.435000767942455,0.027518883690132778,1.070075534760531,81.64,96.54,93.88,92.02,93.69,91.554,490.0121000000001
28.435000767942455_0.027518883690132778_2.070075534760531,28.435000767942455,0.027518883690132778,2.070075534760531,81.3,96.49,93.28,91.47,93.31,91.16999999999999,524.6855
22.435000767942455_0.01751888369013278_2.070075534760531,22.435000767942455,0.01751888369013278,2.070075534760531,80.49,96.49,93.3,91.47,93.31,91.012,555.3672000000003
28.435000767942455_0.0075188836901327796_1.070075534760531,28.435000767942455,0.0075188836901327796,1.070075534760531,81.96,96.54,93.65,92.23,93.72,91.62,477.5470000000001
25.435000767942455_0.01751888369013278_1.070075534760531,25.435000767942455,0.01751888369013278,1.070075534760531,81.73,96.54,93.91,92.04,93.69,91.58200000000001,486.0302999999998
31.435000767942455_0.0075188836901327796_1.070075534760531,31.435000767942455,0.0075188836901327796,1.070075534760531,81.98,96.54,93.65,92.23,93.59,91.598,478.47549999999967
25.435000767942455_0.0075188836901327796_1.070075534760531,25.435000767942455,0.0075188836901327796,1.070075534760531,81.73,96.54,93.91,92.23,93.58,91.598,484.44189999999986
28.435000767942455_0.01751888369013278_2.070075534760531,28.435000767942455,0.01751888369013278,2.070075534760531,81.3,96.49,93.28,91.49,93.31,91.174,524.3447000000002
