ID,BBS,IOUT,MINHITS,P1,P2,P3,P4,P5,Mean,Score
47.079945729877295_0.0004420488473186457_4.73858711215743,47.079945729877295,0.0004420488473186457,4.73858711215743,77.17,88.4,82.37,80.58,85.63,82.83,1550.2190999999998
47.079945729877295_0.0004420488473186457_4.8385871121574295,47.079945729877295,0.0004420488473186457,4.8385871121574295,77.17,94.38,90.7,85.86,91.56,87.934,910.4565
47.079945729877295_0.0004420488473186457_4.938587112157429,47.079945729877295,0.0004420488473186457,4.938587112157429,77.59,94.38,90.7,85.86,91.56,88.018,891.4556999999998
47.079945729877295_0.0014420488473186458_4.73858711215743,47.079945729877295,0.0014420488473186458,4.73858711215743,77.59,95.13,90.7,85.88,91.56,88.172,883.0229999999999
47.079945729877295_0.0014420488473186458_4.8385871121574295,47.079945729877295,0.0014420488473186458,4.8385871121574295,77.59,95.13,90.7,85.88,91.56,88.172,883.0229999999999
47.079945729877295_0.0014420488473186458_4.938587112157429,47.079945729877295,0.0014420488473186458,4.938587112157429,77.59,95.13,90.7,85.88,91.56,88.172,883.0229999999999
48.079945729877295_0.0004420488473186457_4.73858711215743,48.079945729877295,0.0004420488473186457,4.73858711215743,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
48.079945729877295_0.0004420488473186457_4.8385871121574295,48.079945729877295,0.0004420488473186457,4.8385871121574295,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
48.079945729877295_0.0004420488473186457_4.938587112157429,48.079945729877295,0.0004420488473186457,4.938587112157429,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
48.079945729877295_0.0014420488473186458_4.73858711215743,48.079945729877295,0.0014420488473186458,4.73858711215743,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
48.079945729877295_0.0014420488473186458_4.8385871121574295,48.079945729877295,0.0014420488473186458,4.8385871121574295,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
48.079945729877295_0.0014420488473186458_4.938587112157429,48.079945729877295,0.0014420488473186458,4.938587112157429,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
49.079945729877295_0.0004420488473186457_4.73858711215743,49.079945729877295,0.0004420488473186457,4.73858711215743,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
49.079945729877295_0.0004420488473186457_4.8385871121574295,49.079945729877295,0.0004420488473186457,4.8385871121574295,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
49.079945729877295_0.0004420488473186457_4.938587112157429,49.079945729877295,0.0004420488473186457,4.938587112157429,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
49.079945729877295_0.0014420488473186458_4.73858711215743,49.079945729877295,0.0014420488473186458,4.73858711215743,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
49.079945729877295_0.0014420488473186458_4.8385871121574295,49.079945729877295,0.0014420488473186458,4.8385871121574295,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
49.079945729877295_0.0014420488473186458_4.938587112157429,49.079945729877295,0.0014420488473186458,4.938587112157429,77.59,95.13,90.54,85.88,91.56,88.14,886.0245999999997
47.079945729877295_0.0014420488473186458_4.73858711215743,47.079945729877295,0.0014420488473186458,4.73858711215743,77.59,95.13,90.7,85.88,91.56,88.172,883.0229999999999
46.079945729877295_0.0004420488473186458_4.63858711215743,46.079945729877295,0.0004420488473186458,4.63858711215743,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
46.079945729877295_0.0004420488473186458_4.73858711215743,46.079945729877295,0.0004420488473186458,4.73858711215743,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
46.079945729877295_0.0004420488473186458_4.8385871121574295,46.079945729877295,0.0004420488473186458,4.8385871121574295,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
46.079945729877295_0.0014420488473186458_4.63858711215743,46.079945729877295,0.0014420488473186458,4.63858711215743,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
46.079945729877295_0.0014420488473186458_4.73858711215743,46.079945729877295,0.0014420488473186458,4.73858711215743,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
46.079945729877295_0.0014420488473186458_4.8385871121574295,46.079945729877295,0.0014420488473186458,4.8385871121574295,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
46.079945729877295_0.002442048847318646_4.63858711215743,46.079945729877295,0.002442048847318646,4.63858711215743,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
46.079945729877295_0.002442048847318646_4.73858711215743,46.079945729877295,0.002442048847318646,4.73858711215743,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
46.079945729877295_0.002442048847318646_4.8385871121574295,46.079945729877295,0.002442048847318646,4.8385871121574295,77.42,95.13,90.7,85.74,91.56,88.11,894.6445000000001
47.079945729877295_0.0004420488473186458_4.63858711215743,47.079945729877295,0.0004420488473186458,4.63858711215743,77.59,95.13,90.7,85.88,91.56,88.172,883.0229999999999
47.079945729877295_0.0004420488473186458_4.73858711215743,47.079945729877295,0.0004420488473186458,4.73858711215743,77.59,95.13,90.7,85.88,91.56,88.172,883.0229999999999
47.079945729877295_0.0004420488473186458_4.8385871121574295,47.079945729877295,0.0004420488473186458,4.8385871121574295,77.59,95.13,90.7,85.88,91.56,88.172,883.0229999999999
47.079945729877295_0.0014420488473186458_4.63858711215743,47.079945729877295,0.0014420488473186458,4.63858711215743,77.59,95.13,90.7,85.88,91.56,88.172,883.0229999999999
