ID,BBS,IOUT,MINHITS,P1,P2,P3,P4,P5,Mean,Score
34.62812681328227_0.021608987599784014_1.086435950399136,34.62812681328227,0.021608987599784014,1.086435950399136,90.52,76.3,96.15,68.27,66.73,79.59400000000001,2780.0687000000003
31.62812681328227_0.03160898759978401_1.086435950399136,31.62812681328227,0.03160898759978401,1.086435950399136,90.49,89.51,96.26,88.25,66.73,86.248,1459.4231999999997
37.62812681328227_0.011608987599784014_2.086435950399136,37.62812681328227,0.011608987599784014,2.086435950399136,91.21,89.73,95.98,92.2,77.15,89.25399999999999,781.8598999999997
31.62812681328227_0.011608987599784014_1.086435950399136,31.62812681328227,0.011608987599784014,1.086435950399136,91.51,91.65,96.26,92.39,80.09,90.38,610.1103999999996
31.62812681328227_0.03160898759978401_2.086435950399136,31.62812681328227,0.03160898759978401,2.086435950399136,91.15,89.84,96.26,92.0,78.39,89.52799999999999,726.5277999999998
37.62812681328227_0.03160898759978401_1.086435950399136,37.62812681328227,0.03160898759978401,1.086435950399136,91.53,91.69,96.15,92.42,80.31,90.42,600.7719999999998
34.62812681328227_0.011608987599784014_2.086435950399136,34.62812681328227,0.011608987599784014,2.086435950399136,91.25,91.07,95.98,92.2,78.3,89.76,704.1978000000001
37.62812681328227_0.021608987599784014_1.086435950399136,37.62812681328227,0.021608987599784014,1.086435950399136,91.53,91.63,96.15,92.57,80.31,90.438,599.5213
34.62812681328227_0.021608987599784014_1.086435950399136,34.62812681328227,0.021608987599784014,1.086435950399136,91.51,91.69,96.15,92.42,80.04,90.36200000000001,611.8166999999996
31.62812681328227_0.011608987599784014_2.086435950399136,31.62812681328227,0.011608987599784014,2.086435950399136,91.25,91.22,96.26,92.0,78.39,89.824,698.6306
37.62812681328227_0.03160898759978401_2.086435950399136,37.62812681328227,0.03160898759978401,2.086435950399136,91.27,91.2,95.98,92.0,78.8,89.85,683.2533000000001
37.62812681328227_0.021608987599784014_1.086435950399136,37.62812681328227,0.021608987599784014,1.086435950399136,91.53,91.63,96.15,92.57,80.31,90.438,599.5213
37.62812681328227_0.021608987599784014_2.086435950399136,37.62812681328227,0.021608987599784014,2.086435950399136,91.27,91.07,95.98,92.2,78.8,89.864,682.3982000000002
34.62812681328227_0.021608987599784014_2.086435950399136,34.62812681328227,0.021608987599784014,2.086435950399136,91.25,91.2,95.98,92.0,78.3,89.74600000000001,705.0529
34.62812681328227_0.021608987599784014_1.086435950399136,34.62812681328227,0.021608987599784014,1.086435950399136,91.51,91.69,96.15,92.42,80.04,90.36200000000001,611.8166999999996
34.62812681328227_0.03160898759978401_2.086435950399136,34.62812681328227,0.03160898759978401,2.086435950399136,91.18,91.2,95.98,92.0,78.3,89.732,706.2828
40.62812681328227_0.03160898759978401_2.086435950399136,40.62812681328227,0.03160898759978401,2.086435950399136,91.27,91.07,95.98,92.21,79.28,89.96199999999999,662.1207000000002
40.62812681328227_0.011608987599784014_2.086435950399136,40.62812681328227,0.011608987599784014,2.086435950399136,91.27,91.07,95.98,92.21,79.28,89.96199999999999,662.1207000000002
37.62812681328227_0.03160898759978401_2.086435950399136,37.62812681328227,0.03160898759978401,2.086435950399136,91.27,91.2,95.98,92.0,78.8,89.85,683.2533000000001
34.62812681328227_0.03160898759978401_1.086435950399136,34.62812681328227,0.03160898759978401,1.086435950399136,91.49,91.69,96.15,92.42,80.04,90.35800000000002,612.1566999999998
40.62812681328227_0.021608987599784014_2.086435950399136,40.62812681328227,0.021608987599784014,2.086435950399136,91.27,91.07,95.98,92.21,79.28,89.96199999999999,662.1207000000002
37.62812681328227_0.011608987599784014_2.086435950399136,37.62812681328227,0.011608987599784014,2.086435950399136,91.27,91.07,95.98,92.2,78.8,89.864,682.3982000000002
